# basename,datetime,site,mode,raw_size,gz_size,7z_size
COVIS-20180729T050000-survey1,2018-07-29 05:00:00,Ashes,survey1,837437770,26999294,16384732
COVIS-20180729T052041-survey2,2018-07-29 05:20:41,Ashes,survey2,837437769,28859584,17686867
COVIS-20180729T144948-imaging,2018-07-29 14:49:48,Ashes,imaging,1559363172,406232570,265181263
COVIS-20180729T160020-diffuse,2018-07-29 16:00:20,Ashes,diffuse,8440227,4258379,3229448
COVIS-20180729T160210-diffuse,2018-07-29 16:02:10,Ashes,diffuse,8440244,4364786,3274566
COVIS-20180729T160424-diffuse,2018-07-29 16:04:24,Ashes,diffuse,8440223,4379025,3330346
COVIS-20180729T193809-survey3,2018-07-29 19:38:09,Ashes,survey3,837437671,30615567,17349064
COVIS-20180729T200504-diffuse,2018-07-29 20:05:04,Ashes,diffuse,8440229,4267364,3269718
COVIS-20180729T201144-diffuse,2018-07-29 20:11:44,Ashes,diffuse,8440247,4202064,3167882
COVIS-20180729T201816-diffuse,2018-07-29 20:18:16,Ashes,diffuse,8440235,4156443,3116291
COVIS-20180729T210118-diffuse,2018-07-29 21:01:18,Ashes,diffuse,8440234,4306146,3299013
COVIS-20180729T210502-diffuse,2018-07-29 21:05:02,Ashes,diffuse,8440238,4291706,3317594
COVIS-20180729T210624-diffuse,2018-07-29 21:06:24,Ashes,diffuse,8440229,4325303,3335253
COVIS-20180729T212653-diffuse3,2018-07-29 21:26:53,Ashes,diffuse3,8440239,4223996,3178950
COVIS-20180729T212932-diffuse3,2018-07-29 21:29:32,Ashes,diffuse3,8440239,4242018,3231550
COVIS-20180729T213028-diffuse3,2018-07-29 21:30:28,Ashes,diffuse3,8440238,4247373,3235617
COVIS-20180729T214855-diffuse2,2018-07-29 21:48:55,Ashes,diffuse2,8440240,4205380,3197518
COVIS-20180729T215158-diffuse2,2018-07-29 21:51:58,Ashes,diffuse2,8440249,4256306,3294948
COVIS-20180729T215315-diffuse2,2018-07-29 21:53:15,Ashes,diffuse2,8440241,4272506,3284825
COVIS-20180729T215605-diffuse2,2018-07-29 21:56:05,Ashes,diffuse2,8440250,4274167,3293453
COVIS-20180729T215657-diffuse2,2018-07-29 21:56:57,Ashes,diffuse2,8440250,4262751,3288793
COVIS-20180729T215749-diffuse2,2018-07-29 21:57:49,Ashes,diffuse2,8440246,4273611,3319540
COVIS-20180729T215936-diffuse2,2018-07-29 21:59:36,Ashes,diffuse2,8440230,4272178,3300690
COVIS-20180729T220027-diffuse2,2018-07-29 22:00:27,Ashes,diffuse2,8440236,4267878,3294398
COVIS-20180729T220121-diffuse2,2018-07-29 22:01:21,Ashes,diffuse2,8440238,4271501,3310180
COVIS-20180729T220313-diffuse2,2018-07-29 22:03:13,Ashes,diffuse2,8440238,4277703,3314634
COVIS-20180729T220459-diffuse2,2018-07-29 22:04:59,Ashes,diffuse2,8440229,4269016,3299079
COVIS-20180729T220613-diffuse2,2018-07-29 22:06:13,Ashes,diffuse2,8440238,4275549,3294394
COVIS-20180729T220705-diffuse2,2018-07-29 22:07:05,Ashes,diffuse2,8440241,4267081,3289590
COVIS-20180729T220845-diffuse3,2018-07-29 22:08:45,Ashes,diffuse3,8440249,4039428,2989103
COVIS-20180729T221120-diffuse3,2018-07-29 22:11:20,Ashes,diffuse3,8440249,4205532,3199736
COVIS-20180729T221235-diffuse3,2018-07-29 22:12:35,Ashes,diffuse3,8440249,4226385,3230324
COVIS-20180729T221326-diffuse3,2018-07-29 22:13:26,Ashes,diffuse3,8440234,4228434,3221033
COVIS-20180729T221449-diffuse3,2018-07-29 22:14:49,Ashes,diffuse3,8440248,4188834,3191557
COVIS-20180729T221540-diffuse3,2018-07-29 22:15:40,Ashes,diffuse3,8440247,4199390,3212841
COVIS-20180729T221633-diffuse3,2018-07-29 22:16:33,Ashes,diffuse3,8440250,4255823,3208788
COVIS-20180729T221746-diffuse3,2018-07-29 22:17:46,Ashes,diffuse3,8440250,4231611,3221443
COVIS-20180729T221839-diffuse3,2018-07-29 22:18:39,Ashes,diffuse3,8440242,4276625,3232497
COVIS-20180729T221931-diffuse3,2018-07-29 22:19:31,Ashes,diffuse3,8440249,4271658,3228143
COVIS-20180729T222039-diffuse3,2018-07-29 22:20:39,Ashes,diffuse3,8440247,4214958,3203514
COVIS-20180729T222132-diffuse3,2018-07-29 22:21:32,Ashes,diffuse3,8440246,4217849,3198157
COVIS-20180729T222225-diffuse3,2018-07-29 22:22:25,Ashes,diffuse3,8440245,4220457,3210988
COVIS-20180729T222636-diffuse3,2018-07-29 22:26:36,Ashes,diffuse3,8440242,4200077,3187551
COVIS-20180729T222728-diffuse3,2018-07-29 22:27:28,Ashes,diffuse3,8440237,4189409,3185756
COVIS-20180729T222822-diffuse3,2018-07-29 22:28:22,Ashes,diffuse3,8440405,4179433,3161658
COVIS-20180729T223618-diffuse3,2018-07-29 22:36:18,Ashes,diffuse3,8440238,4267107,3232979
COVIS-20180729T223748-diffuse3,2018-07-29 22:37:48,Ashes,diffuse3,8440240,4297348,3242244
COVIS-20180729T224740-diffuse3,2018-07-29 22:47:40,Ashes,diffuse3,8440235,4204253,3173933
COVIS-20180729T233039-diffuse3,2018-07-29 23:30:39,Ashes,diffuse3,8440235,4357491,3281689
COVIS-20180729T233133-diffuse3,2018-07-29 23:31:33,Ashes,diffuse3,8440236,4390010,3294358
COVIS-20180729T233227-diffuse3,2018-07-29 23:32:27,Ashes,diffuse3,8440238,4386174,3296160
COVIS-20180729T233727-diffuse3,2018-07-29 23:37:27,Ashes,diffuse3,8440240,4262431,3232404
COVIS-20180729T233820-diffuse3,2018-07-29 23:38:20,Ashes,diffuse3,8440234,4328425,3255917
COVIS-20180729T233913-diffuse3,2018-07-29 23:39:13,Ashes,diffuse3,8440249,4298229,3246053
COVIS-20180729T234108-diffuse3,2018-07-29 23:41:08,Ashes,diffuse3,8440233,4250820,3222572
COVIS-20180729T234201-diffuse3,2018-07-29 23:42:01,Ashes,diffuse3,8440258,4251549,3223049
COVIS-20180729T234254-diffuse3,2018-07-29 23:42:54,Ashes,diffuse3,8440250,4213810,3198368
COVIS-20180729T234347-diffuse1,2018-07-29 23:43:47,Ashes,diffuse1,8440250,4184177,3154004
COVIS-20180729T234513-diffuse1,2018-07-29 23:45:13,Ashes,diffuse1,8440253,4215532,3174086
COVIS-20180729T234630-diffuse1,2018-07-29 23:46:30,Ashes,diffuse1,8440256,4268185,3216777
COVIS-20180729T234725-diffuse1,2018-07-29 23:47:25,Ashes,diffuse1,8440256,4238982,3202763
COVIS-20180729T235033-diffuse1,2018-07-29 23:50:33,Ashes,diffuse1,8440260,4243654,3207886
COVIS-20180729T235126-diffuse1,2018-07-29 23:51:26,Ashes,diffuse1,8440249,4251964,3222174
COVIS-20180729T235219-diffuse1,2018-07-29 23:52:19,Ashes,diffuse1,8440248,4274675,3236962
COVIS-20180729T235312-diffuse1,2018-07-29 23:53:12,Ashes,diffuse1,8440247,4248818,3204225
COVIS-20180729T235702-diffuse1,2018-07-29 23:57:02,Ashes,diffuse1,8440245,4262044,3220522
COVIS-20180729T235755-diffuse1,2018-07-29 23:57:55,Ashes,diffuse1,8440246,4263255,3211999
COVIS-20180729T235848-diffuse1,2018-07-29 23:58:48,Ashes,diffuse1,8440238,4223504,3194434
COVIS-20180729T235940-diffuse1,2018-07-29 23:59:40,Ashes,diffuse1,8440248,4220620,3191469
COVIS-20180730T000550-diffuse1,2018-07-30 00:05:50,Ashes,diffuse1,8440261,4188339,3180283
COVIS-20180730T000642-diffuse1,2018-07-30 00:06:42,Ashes,diffuse1,8440249,4212147,3197467
COVIS-20180730T000735-diffuse1,2018-07-30 00:07:35,Ashes,diffuse1,8440248,4199577,3203819
COVIS-20180730T000827-diffuse1,2018-07-30 00:08:27,Ashes,diffuse1,8440238,4221439,3248382
COVIS-20180730T002713-diffuse1,2018-07-30 00:27:13,Ashes,diffuse1,8440247,4225878,3206685
COVIS-20180730T002806-diffuse1,2018-07-30 00:28:06,Ashes,diffuse1,8440240,4257171,3210809
COVIS-20180730T002859-diffuse1,2018-07-30 00:28:59,Ashes,diffuse1,8440426,4253122,3221676
COVIS-20180730T002952-diffuse1,2018-07-30 00:29:52,Ashes,diffuse1,8440257,4243915,3230680
COVIS-20180730T003737-diffuse1,2018-07-30 00:37:37,Ashes,diffuse1,8440257,4263756,3218891
COVIS-20180730T003830-diffuse1,2018-07-30 00:38:30,Ashes,diffuse1,8440249,4199240,3186831
COVIS-20180730T003923-diffuse1,2018-07-30 00:39:23,Ashes,diffuse1,8440250,4200378,3187237
COVIS-20180730T004016-diffuse1,2018-07-30 00:40:16,Ashes,diffuse1,8440256,4195570,3184415
COVIS-20180730T005817-diffuse1,2018-07-30 00:58:17,Ashes,diffuse1,8440254,4196050,3197666
COVIS-20180730T005911-diffuse1,2018-07-30 00:59:11,Ashes,diffuse1,8440245,4257252,3223778
COVIS-20180730T010004-diffuse1,2018-07-30 01:00:04,Ashes,diffuse1,8440243,4201383,3199046
COVIS-20180730T010056-diffuse1,2018-07-30 01:00:56,Ashes,diffuse1,8440245,4260545,3221717
